央视频道,#genre#
CCTV-1 综合[高清],http://222.130.82.186:4022/rtp/239.3.1.129:8008
CCTV-10 科教[高清],http://222.130.82.186:4022/rtp/239.3.1.63:8116
CCTV-12 社会与法[高清],http://222.130.82.186:4022/rtp/239.3.1.64:8124
CCTV-13 新闻[高清],http://222.130.82.186:4022/rtp/239.3.1.124:8128

卫视频道,#genre#
三沙卫视,http://222.130.82.186:4022/rtp/239.3.1.155:4120
东方卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.136:8032
东南卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.156:8148
四川卫视,http://222.130.82.186:4022/rtp/239.3.1.29:8288
吉林卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.240:8172
广东卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.142:8048
山东卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.209:8052
湖北卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.138:8044
海南卫视,http://222.130.82.186:4022/rtp/239.3.1.45:8304
辽宁卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.210:8056
青海卫视,http://222.130.82.186:4022/rtp/239.3.1.44:8184
陕西卫视,http://222.130.82.186:4022/rtp/239.3.1.41:8140
黑龙江卫视[高清],http://222.130.82.186:4022/rtp/239.3.1.133:8016
