更新时间,#genre#
2026-01-02 04:57:23,url


央视频道,#genre#
CCTV1,http://58.32.24.46:4022/udp/239.45.1.21:5140
CCTV1,http://58.32.24.46:4022/udp/239.45.3.145:5140
CCTV1,http://58.32.24.46:4022/udp/239.45.3.88:5140
CCTV1[1920*1080],http://223.144.221.22:3000/udp/239.76.253.151:9000
CCTV1[1920*1080],http://223.144.221.22:3000/udp/239.76.253.151:9000
CCTV2,http://58.32.24.46:4022/udp/239.45.0.1:5140
CCTV2,http://58.32.24.46:4022/udp/239.45.3.208:5140
CCTV2[1920*1080],http://223.144.221.22:3000/udp/239.76.253.152:9000
CCTV2[1920*1080],http://223.144.221.22:3000/udp/239.76.253.152:9000
CCTV3,http://58.32.24.46:4022/udp/239.45.1.68:5140
CCTV3[1920*1080],http://223.144.221.22:3000/udp/239.76.253.153:9000
CCTV3[1920*1080],http://223.144.221.22:3000/udp/239.76.253.153:9000
CCTV4,http://58.32.24.46:4022/udp/239.45.0.2:5140
CCTV4[1920*1080],http://223.144.221.22:3000/udp/239.76.253.96:9000
CCTV4[1920*1080],http://223.144.221.22:3000/udp/239.76.253.95:9000
CCTV4[1920*1080],http://223.144.221.22:3000/udp/239.76.253.154:9000
CCTV4[1920*1080],http://223.144.221.22:3000/udp/239.76.253.154:9000
CCTV4[1920*1080],http://223.144.221.22:3000/udp/239.76.253.95:9000
CCTV4[1920*1080],http://223.144.221.22:3000/udp/239.76.253.96:9000
CCTV5,http://58.32.24.46:4022/udp/239.45.1.69:5140
CCTV5,http://58.32.24.46:4022/udp/239.45.0.34:5140
CCTV5+[1920*1080],http://223.144.221.22:3000/udp/239.76.254.215:9000
CCTV5+[1920*1080],http://223.144.221.22:3000/udp/239.76.253.168:9000
CCTV5+[1920*1080],http://223.144.221.22:3000/udp/239.76.253.168:9000
CCTV5+[1920*1080],http://223.144.221.22:3000/udp/239.76.254.215:9000
CCTV5[1920*1080],http://223.144.221.22:3000/udp/239.76.254.214:9000
CCTV5[1920*1080],http://223.144.221.22:3000/udp/239.76.253.155:9000
CCTV5[1920*1080],http://223.144.221.22:3000/udp/239.76.254.214:9000
CCTV6,http://58.32.24.46:4022/udp/239.45.1.70:5140
CCTV6[1920*1080],http://223.144.221.22:3000/udp/239.76.253.156:9000
CCTV6[1920*1080],http://223.144.221.22:3000/udp/239.76.253.156:9000
CCTV7,http://58.32.24.46:4022/udp/239.45.3.56:5140
CCTV7[1920*1080],http://223.144.221.22:3000/udp/239.76.253.157:9000
CCTV7[1920*1080],http://223.144.221.22:3000/udp/239.76.253.157:9000
CCTV8,http://58.32.24.46:4022/udp/239.45.1.71:5140
CCTV8[1920*1080],http://223.144.221.22:3000/udp/239.76.253.158:9000
CCTV8[1920*1080],http://223.144.221.22:3000/udp/239.76.253.158:9000
CCTV9,http://58.32.24.46:4022/udp/239.45.3.4:5140
CCTV9[1920*1080],http://223.144.221.22:3000/udp/239.76.253.159:9000
CCTV9[1920*1080],http://223.144.221.22:3000/udp/239.76.253.159:9000
CCTV10,http://58.32.24.46:4022/udp/239.45.3.8:5140
CCTV10[1920*1080],http://223.144.221.22:3000/udp/239.76.253.160:9000
CCTV10[1920*1080],http://223.144.221.22:3000/udp/239.76.253.160:9000
CCTV11,http://58.32.24.46:4022/udp/239.45.0.18:5140
CCTV11[1920*1080],http://223.144.221.22:3000/udp/239.76.252.251:9000
CCTV11[1920*1080],http://223.144.221.22:3000/udp/239.76.252.251:9000
CCTV12,http://58.32.24.46:4022/udp/239.45.3.10:5140
CCTV12,http://58.32.24.46:4022/udp/239.45.3.124:5140
CCTV12[1920*1080],http://223.144.221.22:3000/udp/239.76.253.162:9000
CCTV12[1920*1080],http://223.144.221.22:3000/udp/239.76.253.162:9000
CCTV13,http://58.32.24.46:4022/udp/239.45.0.19:5140
CCTV13[1920*1080],http://223.144.221.22:3000/udp/239.76.253.93:9000
CCTV13[1920*1080],http://223.144.221.22:3000/udp/239.76.253.93:9000
CCTV14,http://58.32.24.46:4022/udp/239.45.3.125:5140
CCTV14,http://58.32.24.46:4022/udp/239.45.3.23:5140
CCTV14[1920*1080],http://223.144.221.22:3000/udp/239.76.253.164:9000
CCTV14[1920*1080],http://223.144.221.22:3000/udp/239.76.253.164:9000
CCTV15,http://58.32.24.46:4022/udp/239.45.0.20:5140
CCTV15,http://58.32.24.46:4022/udp/239.45.3.126:5140
CCTV15[1920*1080],http://223.144.221.22:3000/udp/239.76.252.252:9000
CCTV15[1920*1080],http://223.144.221.22:3000/udp/239.76.252.252:9000
CCTV16,http://58.32.24.46:4022/udp/233.18.204.215:5140
CCTV16,http://58.32.24.46:4022/udp/233.18.204.114:5140
CCTV16,http://58.32.24.46:4022/udp/239.45.0.10:5140
CCTV16,http://58.32.24.46:4022/udp/233.18.204.114:5140
CCTV16,http://58.32.24.46:4022/udp/233.18.204.215:5140
CCTV16,http://58.32.24.46:4022/udp/239.45.0.12:5140
CCTV16-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.254.200:9000
CCTV16-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.253.230:9000
CCTV16-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.253.230:9000
CCTV16-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.254.200:9000
CCTV16[1920*1080],http://223.144.221.22:3000/udp/239.76.253.98:9000
CCTV16[1920*1080],http://223.144.221.22:3000/udp/239.76.253.98:9000
CCTV17,http://58.32.24.46:4022/udp/239.45.3.251:5140
CCTV17,http://58.32.24.46:4022/udp/239.45.3.52:5140
CCTV17[1920*1080],http://223.144.221.22:3000/udp/239.76.252.238:9000
CCTV17[1920*1080],http://223.144.221.22:3000/udp/239.76.252.238:9000
CCTV-1 综合,http://180.109.94.130:4022/udp/239.49.8.19:9614
CCTV-1 综合,http://222.189.167.56:4022/udp/239.49.8.19:9614
CCTV-1 综合,http://180.109.94.130:4022/udp/239.49.8.19:9614
CCTV-1 综合,http://222.189.167.56:4022/udp/239.49.8.19:9614
CCTV-1超清,http://113.104.237.144:7088/udp/239.77.0.129:5146
CCTV-1超清,http://113.111.110.220:4022/udp/239.77.0.129:5146
CCTV-1超清,http://113.104.187.200:7088/udp/239.77.0.129:5146
CCTV-1超清,http://113.104.237.144:7088/udp/239.77.0.129:5146
CCTV-1超清,http://113.111.110.220:4022/udp/239.77.0.129:5146
CCTV-1高清,http://113.111.110.220:4022/udp/239.77.0.119:5146
CCTV-1高清,http://113.104.187.200:7088/udp/239.77.0.119:5146
CCTV-1高清,http://113.104.237.144:7088/udp/239.77.0.119:5146
CCTV-1高清,http://113.111.110.220:4022/udp/239.77.0.119:5146
CCTV-1高清(CCTV -1综合高清),http://113.104.187.200:7088/udp/239.77.0.86:5146
CCTV-1高清(CCTV -1综合高清),http://113.104.187.200:7088/udp/239.77.0.86:5146
CCTV-1高清(CCTV -1综合高清),http://113.104.237.144:7088/udp/239.77.0.86:5146
CCTV-1高清(CCTV -1综合高清),http://113.111.110.220:4022/udp/239.77.0.86:5146
CCTV-2 财经,http://180.109.94.130:4022/udp/239.49.8.50:9802
CCTV-2 财经,http://222.189.167.56:4022/udp/239.49.8.50:9802
CCTV-2 财经,http://180.109.94.130:4022/udp/239.49.8.50:9802
CCTV-2 财经,http://222.189.167.56:4022/udp/239.49.8.50:9802
CCTV-2高清,http://113.111.110.220:4022/udp/239.77.1.158:5146
CCTV-2高清,http://113.104.187.200:7088/udp/239.77.1.158:5146
CCTV-2高清,http://113.104.237.144:7088/udp/239.77.1.158:5146
CCTV-2高清,http://113.111.110.220:4022/udp/239.77.1.158:5146
CCTV-2高清 (CAVS),http://113.111.110.220:4022/udp/239.253.43.17:5146
CCTV-2高清 (CAVS),http://113.104.187.200:7088/udp/239.253.43.17:5146
CCTV-2高清 (CAVS),http://113.104.237.144:7088/udp/239.253.43.17:5146
CCTV-2高清 (CAVS),http://113.111.110.220:4022/udp/239.253.43.17:5146
CCTV-2高清测试(CCTV -2财经高清),http://113.104.187.200:7088/udp/239.77.0.137:5146
CCTV-2高清测试(CCTV -2财经高清),http://113.104.237.144:7088/udp/239.77.0.137:5146
CCTV-2高清测试(CCTV -2财经高清),http://113.111.110.220:4022/udp/239.77.0.137:5146
CCTV-3 综艺,http://180.109.94.130:4022/udp/239.49.8.74:8000
CCTV-3 综艺,http://222.189.167.56:4022/udp/239.49.8.74:8000
CCTV-3 综艺,http://180.109.94.130:4022/udp/239.49.8.74:8000
CCTV-3 综艺,http://222.189.167.56:4022/udp/239.49.8.74:8000
CCTV-3超清 (CAVS),http://113.104.187.200:7088/udp/239.77.0.175:5146
CCTV-3超清 (CAVS),http://113.111.110.220:4022/udp/239.77.0.175:5146
CCTV-3超清 (CAVS),http://113.104.237.144:7088/udp/239.77.0.175:5146
CCTV-3超清 (CAVS),http://113.104.187.200:7088/udp/239.77.0.175:5146
CCTV-3超清 (CAVS),http://113.104.237.144:7088/udp/239.77.0.175:5146
CCTV-3超清 (CAVS),http://113.111.110.220:4022/udp/239.77.0.175:5146
CCTV-3高清,http://113.104.187.200:7088/udp/239.77.0.169:5146
CCTV-3高清,http://113.104.237.144:7088/udp/239.77.0.169:5146
CCTV-3高清,http://113.111.110.220:4022/udp/239.77.0.169:5146
CCTV-4 中文国际,http://222.189.167.56:4022/udp/239.49.8.51:9806
CCTV-4 中文国际,http://180.109.94.130:4022/udp/239.49.8.51:9806
CCTV-4 中文国际,http://222.189.167.56:4022/udp/239.49.8.51:9806
CCTV-4K,http://58.32.24.46:4022/udp/233.18.204.204:5140
CCTV-4K,http://58.32.24.46:4022/udp/233.18.204.188:5140
CCTV-4K,http://58.32.24.46:4022/udp/233.18.204.188:5140
CCTV-4K,http://58.32.24.46:4022/udp/233.18.204.204:5140
CCTV-4K,http://58.32.24.46:4022/udp/239.45.0.55:5140
CCTV-4K 4K,http://113.104.237.144:7088/udp/239.77.0.194:5146
CCTV-4K 4K,http://113.104.187.200:7088/udp/239.77.0.194:5146
CCTV-4K 4K,http://113.104.187.200:7088/udp/239.77.1.180:5146
CCTV-4K 4K,http://113.104.237.144:7088/udp/239.77.0.194:5146
CCTV-4K 4K,http://113.104.237.144:7088/udp/239.77.1.180:5146
CCTV-4K 4K,http://113.111.110.220:4022/udp/239.77.0.194:5146
CCTV-4K 4K,http://113.111.110.220:4022/udp/239.77.1.180:5146
CCTV-4K 超高清,http://180.109.94.130:4022/udp/239.49.0.82:8000
CCTV-4K 超高清,http://180.109.94.130:4022/udp/239.49.0.82:8000
CCTV-4K 超高清,http://222.189.167.56:4022/udp/239.49.0.82:8000
CCTV-4K 超高清,http://222.189.167.56:4022/udp/239.49.0.82:8000
CCTV-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.254.101:9000
CCTV-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.254.64:9000
CCTV-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.254.101:9000
CCTV-4K[3840*2160],http://223.144.221.22:3000/udp/239.76.254.64:9000
CCTV-4欧洲高清,http://113.104.187.200:7088/udp/239.253.43.120:5146
CCTV-4欧洲高清,http://113.104.237.144:7088/udp/239.253.43.120:5146
CCTV-4欧洲高清,http://113.111.110.220:4022/udp/239.253.43.120:5146
CCTV-4美洲高清,http://113.104.237.144:7088/udp/239.253.43.121:5146
CCTV-4美洲高清,http://113.104.187.200:7088/udp/239.253.43.121:5146
CCTV-4美洲高清,http://113.104.237.144:7088/udp/239.253.43.121:5146
CCTV-4美洲高清,http://113.111.110.220:4022/udp/239.253.43.121:5146
CCTV-4高清,http://113.104.187.200:7088/udp/239.77.1.163:5146
CCTV-4高清,http://113.104.187.200:7088/udp/239.77.0.78:5146
CCTV-4高清,http://113.104.237.144:7088/udp/239.77.1.163:5146
CCTV-4高清,http://113.104.237.144:7088/udp/239.77.0.78:5146
CCTV-4高清,http://113.111.110.220:4022/udp/239.77.1.163:5146
CCTV-4高清,http://113.111.110.220:4022/udp/239.77.0.78:5146
CCTV-5 体育,http://222.189.167.56:4022/udp/239.49.8.75:8000
CCTV-5 体育,http://180.109.94.130:4022/udp/239.49.8.75:8000
CCTV-5 体育,http://222.189.167.56:4022/udp/239.49.8.75:8000
CCTV-5+ 体育赛事,http://222.189.167.56:4022/udp/239.49.8.18:9610
CCTV-5+ 体育赛事,http://180.109.94.130:4022/udp/239.49.8.18:9610
CCTV-5+ 体育赛事,http://222.189.167.56:4022/udp/239.49.8.18:9610
CCTV-5+高清,http://113.104.187.200:7088/udp/239.77.0.87:5146
CCTV-5+高清,http://113.104.187.200:7088/udp/239.77.1.31:5146
CCTV-5+高清,http://113.104.237.144:7088/udp/239.77.0.87:5146
CCTV-5+高清,http://113.104.237.144:7088/udp/239.77.1.31:5146
CCTV-5+高清,http://113.111.110.220:4022/udp/239.77.0.87:5146
CCTV-5+高清,http://113.111.110.220:4022/udp/239.77.1.31:5146
CCTV-5超清 (CAVS),http://113.104.187.200:7088/udp/239.77.0.177:5146
