CCTV-1 综合,udp://239.49.8.19:9614
CCTV-2 财经,udp://239.49.8.50:9802
CCTV-3 综艺,udp://239.49.8.74:8000
CCTV-4 中文国际,udp://239.49.8.51:9806
CCTV-5 体育,udp://239.49.8.75:8000
CCTV-5+ 体育赛事,udp://239.49.8.18:9610
CCTV-6 电影,udp://239.49.8.76:8000
CCTV-7 国防军事,udp://239.49.0.126:8000
CCTV-8 电视剧,udp://239.49.8.77:8000
CCTV-9 纪录,udp://239.49.8.53:9814
CCTV-10 科教,udp://239.49.8.54:9818
CCTV-11 戏曲,udp://239.49.0.127:8000
CCTV-12 社会与法,udp://239.49.8.55:9822
CCTV-13 新闻,udp://239.49.8.109:8000
CCTV-14 少儿,udp://239.49.8.56:9826
CCTV-15 音乐,udp://239.49.0.128:8000
CCTV-16 奥林匹克,udp://239.49.8.31:8000
CCTV-16 奥林匹克4K,udp://239.49.0.109:8000
CCTV-17 农业农村,udp://239.49.8.52:9810
CCTV-4K 超高清,udp://239.49.0.82:8000
CGTN 英语,udp://239.49.0.9:8064
CGTN 俄语,udp://239.49.0.111:8000
CGTN 西语,udp://239.49.1.30:8000
CGTN 法语,udp://239.49.1.31:8000
江苏卫视4K-50FPS,udp://239.49.1.62:8000
江苏卫视,udp://239.49.8.16:9602
江苏新闻,udp://239.49.8.120:8000
江苏影视,udp://239.49.8.118:8000
江苏综艺,udp://239.49.8.108:8000
江苏城市,udp://239.49.8.107:8000
江苏教育,udp://239.49.8.122:8000
江苏体育·休闲,udp://239.49.8.117:8000
优漫卡通,udp://239.49.8.119:8000
江苏国际,udp://239.49.0.22:8168
财富天下,udp://239.49.1.29:6000
湖南卫视4K-50FPS,udp://239.49.1.68:8000
湖南卫视,udp://239.49.8.12:9418
浙江卫视4K-50FPS,udp://239.49.1.64:8000
浙江卫视,udp://239.49.8.20:9618
东方卫视4K-50FPS,udp://239.49.1.70:8000
东方卫视,udp://239.49.8.17:9606
北京卫视4K-50FPS,udp://239.49.0.253:8000
北京卫视4K-25FPS,udp://239.49.0.42:8000
北京卫视,udp://239.49.8.11:9414
深圳卫视4K-50FPS,udp://239.49.1.28:8000
深圳卫视4K-25FPS,udp://239.49.1.27:8000
深圳卫视,udp://239.49.8.15:9430
广东卫视4K-50FPS,udp://239.49.1.26:8000
广东卫视4K-25FPS,udp://239.49.1.24:8000
广东卫视,udp://239.49.8.13:9422
广西卫视,udp://239.49.8.10:8000
山东卫视4K-50FPS,udp://239.49.1.72:8000
山东卫视,udp://239.49.8.7:9306
四川卫视4K-50FPS,udp://239.49.1.66:8000
四川卫视,udp://239.49.8.110:8000
重庆卫视,udp://239.49.8.57:9830
安徽卫视,udp://239.49.8.80:8000
天津卫视,udp://239.49.8.35:8620
江西卫视,udp://239.49.8.111:8000
河南卫视,udp://239.49.8.29:8000
河北卫视,udp://239.49.8.114:8000
湖北卫视,udp://239.49.8.8:9632
海南卫视,udp://239.49.8.83:8000
东南卫视,udp://239.49.8.112:8000
三沙卫视,udp://239.49.0.167:8000
贵州卫视,udp://239.49.8.49:8000
云南卫视,udp://239.49.0.177:8000
甘肃卫视,udp://239.49.0.250:8000
青海卫视,udp://239.49.0.81:8000
吉林卫视,udp://239.49.8.113:8000
辽宁卫视,udp://239.49.8.48:8000
黑龙江卫视,udp://239.49.8.14:9426
CETV-1,udp://239.49.8.115:8000
CETV-4,udp://239.49.0.125:8000
CCTV-16 奥林匹克4K,udp://239.49.0.109:8000
CCTV-4K 超高清,udp://239.49.0.82:8000
江苏卫视4K-50FPS,udp://239.49.1.62:8000
湖南卫视4K-50FPS,udp://239.49.1.68:8000
浙江卫视4K-50FPS,udp://239.49.1.64:8000
东方卫视4K-50FPS,udp://239.49.1.70:8000
北京卫视4K-50FPS,udp://239.49.0.253:8000
北京卫视4K-25FPS,udp://239.49.0.42:8000
深圳卫视4K-50FPS,udp://239.49.1.28:8000
深圳卫视4K-25FPS,udp://239.49.1.27:8000
广东卫视4K-50FPS,udp://239.49.1.26:8000
广东卫视4K-25FPS,udp://239.49.1.24:8000
四川卫视4K-50FPS,udp://239.49.1.66:8000
山东卫视4K-50FPS,udp://239.49.1.72:8000
欢笑剧场4K,udp://239.49.8.106:8000
苏超1,udp://239.49.8.96:8000
苏超2,udp://239.49.8.97:8000
欢笑剧场4K,udp://239.49.8.106:8000
欢笑剧场,udp://239.49.8.47:8060
都市剧场,udp://239.49.0.99:8000
生活时尚,udp://239.49.8.40:8004
东方财经,udp://239.49.0.95:8000
中国天气,udp://239.49.0.94:8000
法治天地,udp://239.49.0.96:8000
动漫秀场,udp://239.49.8.43:8028
游戏风云,udp://239.49.8.41:8012
睛彩竞技,udp://239.49.8.39:8000
睛彩篮球,udp://239.49.8.42:8000
睛彩青少,udp://239.49.8.46:8000
睛彩广场舞,udp://239.49.8.64:8000
茶频道,udp://239.49.0.146:8000
快乐垂钓,udp://239.49.0.114:8000
金鹰纪实,udp://239.49.8.79:8000
金鹰卡通,udp://239.49.8.33:8000
武术世界,udp://239.49.0.205:8000
文物宝库,udp://239.49.0.209:8000
梨园频道,udp://239.49.8.193:8000
